# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.03
#   - velocity = 0.4
#   - Xlan = 1e-5.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan 0.8217567737512255
-0.25 -3.8637308583441836 nan nan -3.105951059646351
-0.15000000596046448 -3.2831503075666575 nan nan -3.6738297616666067
-0.05000000074505806 -5.164161453295904 -4.474680555436052 -3.881488361894583 -7.511654992503747
0.05000000074505806 -14.753601459664885 -14.002288645128047 -13.241322521552231 -14.599671039657629
0.15000000596046448 -16.337643548656096 -15.90645682180812 -15.422612470213537 -16.045769053927508
0.25 -16.518969266680664 -16.19790224751933 -15.720830011984791 -16.147499115948975
0.3499999940395355 -16.450427412271537 -16.248182743232878 -15.791745955498225 -16.067461300304984
0.44999998807907104 -16.272200089576202 -16.28468121331506 -15.833081025185201 -15.981206451941716
0.550000011920929 -16.049967209793085 -16.303037781008285 -15.9493121924748 -15.917147213837985
0.6499999761581421 -15.827895327225747 -16.267065749206438 -16.04128794966199 -15.856068215127813
0.75 -15.621315707944326 -16.203780031580308 -16.06261858656938 -15.788531414117102
0.8500000238418579 -15.457399078345652 -16.07360853675754 -16.032624988506846 -15.702605343561288
