# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.03
#   - velocity = 0.03
#   - Xlan = 1e-4.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 nan nan nan -5.959815194417054
0.15000000596046448 -12.320469343293365 -12.032493304883516 -11.688944302844018 -12.337415361878126
0.25 -13.308501000170374 -12.89310990594197 -12.54362440602318 -13.270486531694495
0.3499999940395355 -13.817058966783996 -13.331540943900507 -12.98958463260535 -13.73482039580113
0.44999998807907104 -14.125882911454518 -13.669039610896561 -13.299052338280262 -14.020564848360731
0.550000011920929 -14.367061138596195 -13.943580079897448 -13.58537130987387 -14.2368425085599
0.6499999761581421 -14.518912682475186 -14.137082763339336 -13.759810060370508 -14.379487428087803
0.75 -14.64692095862926 -14.284572247917843 -13.924230283461547 -14.473470535347378
0.8500000238418579 -14.718788768043492 -14.415227385043476 -14.090181728891665 -14.562321415927226
0.949999988079071 -14.813689864169227 -14.543285903715784 -14.209677359845614 -14.65073297275383
1.0499999523162842 -14.867851963148631 -14.616954794801558 -14.34116934886682 -14.707405730839419
