# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.05
#   - velocity = 0.15
#   - Xlan = 1e-2.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -10.543847003868041 -10.548673811111222 -10.543712872171398 -10.725074461003619
0.15000000596046448 -12.500717716560924 -12.880396915710069 -13.28704755314913 -13.037366021106955
0.25 -12.076897008217308 -13.005914561290385 -13.645108954591109 -13.328563251829074
0.3499999940395355 -11.651823009830387 -12.882317716580012 -13.828084430007262 -13.526280925205626
0.44999998807907104 -11.343037167349593 -12.718439345306052 -13.880734902651927 -13.687094094683097
0.550000011920929 -11.189095347791994 -12.656064051044254 -13.943249568338448 -13.821904902307942
0.6499999761581421 -10.953138917411707 -12.56153059064524 -13.899670159894974 -13.914961600660899
0.75 -10.666542801967552 -12.43552003667309 -13.9077282756164 -13.99938743732272
0.8500000238418579 -10.477382214506719 -12.407828127231756 -13.896847611325462 -14.08626461813341
0.949999988079071 -10.218015494764913 -12.390885837180402 -13.899514111625866 -14.15052262428486
