# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.02
#   - velocity = 0.3
#   - Xlan = 1e-4.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -13.440047274350803 -12.96218889160474 -12.510759789700622 -13.124500265473205
0.15000000596046448 -15.447996714379947 -15.209767260769144 -14.83312108880369 -15.121065092767694
0.25 -15.748124358823056 -15.647809054723382 -15.29570515458543 -15.423605966745114
0.3499999940395355 -15.678771635048228 -15.802189571417873 -15.548074206961346 -15.474995571209256
0.44999998807907104 -15.425694089582429 -15.853011781929592 -15.689815007672465 -15.434859361174972
0.550000011920929 -15.132815414400575 -15.84963354793264 -15.751330715336948 -15.368108284317813
0.6499999761581421 -14.85636606745097 -15.771727224278191 -15.771818056619775 -15.295563587020673
0.75 -14.585232823695428 -15.617827095567844 -15.766785904496679 -15.212635369172158
0.8500000238418579 -14.331669590949204 -15.395436358935946 -15.721106867450633 -15.105701974253606
0.949999988079071 -14.104949232621944 -15.194785451156037 -15.66615427809252 -15.010283736749695
