# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.02
#   - velocity = 0.3
#   - Xlan = 1e-9.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -13.592791133368998 -12.914021429640322 -12.017346468984286 -13.210856969982977
0.15000000596046448 -15.80659011139176 -15.38541106926506 -14.882373629752959 -15.416310901064236
0.25 -16.12333954349584 -15.771690020477031 -15.265065884709902 -15.666240658440302
0.3499999940395355 -16.06299064384568 -15.825526360105801 -15.341744750735039 -15.601493314139503
0.44999998807907104 -15.8134188435167 -15.813672874325455 -15.292322033776678 -15.455079329132886
0.550000011920929 -15.53545408836036 -15.858492157512487 -15.334062881120502 -15.36023413369444
0.6499999761581421 -15.287131344924362 -15.910509256223595 -15.484998308887313 -15.331157611428466
0.75 -15.085604663413108 -15.912141510132464 -15.617440543268565 -15.32263475624864
0.8500000238418579 -14.914797292828254 -15.855394844476429 -15.666637827361576 -15.292988731848745
0.949999988079071 -14.768745642523296 -15.760666806901533 -15.661522263700398 -15.245511588436187
