# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.03
#   - velocity = 0.1
#   - Xlan = 1e-2.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -8.932084332123392 -8.57038301991576 -8.566389134212624 -8.953369298725114
0.15000000596046448 -11.892378274274925 -12.16091547590569 -12.206639889466665 -12.259853061725117
0.25 -11.769234504247102 -12.78634223243288 -12.838984688540979 -12.744657027663013
0.3499999940395355 -11.456359243082872 -12.890266041584702 -13.08963091683357 -12.994264449767158
0.44999998807907104 -11.25430615484218 -12.87757432291128 -13.238236535909806 -13.14459273179191
0.550000011920929 -11.155193757946222 -12.816911903946718 -13.306909625779767 -13.302405674470819
0.6499999761581421 -11.120507375817844 -12.791331878216006 -13.362913219456697 -13.417622273388112
0.75 -10.853916457184543 -12.665792184236757 -13.334729989117324 -13.492861823501038
0.8500000238418579 -10.638182332813944 -12.580000405276948 -13.382748689051084 -13.590772366614047
0.949999988079071 -10.52910126420602 -12.550635472679666 -13.365208881939019 -13.666465146720089
