# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.02
#   - velocity = 0.3
#   - Xlan = 1e-5.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -13.590218997532943 -12.928595111186045 -12.125832164564553 -13.202232252244364
0.15000000596046448 -15.756088794626091 -15.350174916702674 -14.855316947627252 -15.364480853035104
0.25 -16.06580467152499 -15.731439950265013 -15.232439874350408 -15.611533346510903
0.3499999940395355 -16.02028097573096 -15.826426400572718 -15.357738735075941 -15.581666354228304
0.44999998807907104 -15.776492964549401 -15.83209439945254 -15.361791846957416 -15.458261437302902
0.550000011920929 -15.48783447240416 -15.86341977300123 -15.420732107996855 -15.366269679312502
0.6499999761581421 -15.240375502498157 -15.901967034413389 -15.534889631970984 -15.329207624764443
0.75 -15.017169251549948 -15.87888836841337 -15.635468674062516 -15.30077472574262
0.8500000238418579 -14.836377314625853 -15.798452082955887 -15.668962244382584 -15.2596169035235
0.949999988079071 -14.672775240049532 -15.681818618756047 -15.65893965104258 -15.201232167214762
