# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.04
#   - velocity = 0.1
#   - Xlan = 1e-2.5
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 nan nan nan nan
0.15000000596046448 -5.005402403633443 -4.8218951433317265 -6.055016367034536 -5.458090163259733
0.25 -11.193195833146685 -12.142328495712935 -12.242592472721533 -12.117270871761558
0.3499999940395355 -11.516995356611748 -13.178778771992732 -13.32265444586654 -13.163233025894868
0.44999998807907104 -11.783449761088995 -13.559739255961752 -13.673302050683457 -13.501706649135198
0.550000011920929 -11.91596054384187 -13.733630744897571 -13.90677188805537 -13.734217943874253
0.6499999761581421 -11.825928944151485 -13.802583561909671 -14.062215402491276 -13.878541418266199
0.75 -11.893452842739222 -13.885991561372684 -14.189966867270595 -14.02262647986776
0.8500000238418579 -11.805613554297707 -13.94464844634339 -14.304604749440077 -14.137261965021466
0.949999988079071 -11.837977252774934 -13.974117710674477 -14.367347816579006 -14.226204129037882
1.0499999523162842 -11.760095601745192 -13.95919328613084 -14.42274888931248 -14.298316840686702
