# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.025
#   - velocity = 0.3
#   - Xlan = 1e-4.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -13.55887618002092 -13.085728558993114 -12.579131818937217 -13.25443204850151
0.15000000596046448 -15.541194051035035 -15.285958773670682 -14.933187050521482 -15.226481853428684
0.25 -15.881810670569436 -15.757301639568439 -15.403584405609895 -15.55440080415682
0.3499999940395355 -15.852150341270782 -15.948339827345176 -15.67154863182909 -15.63324870254317
0.44999998807907104 -15.647949878496405 -16.008551785023457 -15.829437790166288 -15.613300557708229
0.550000011920929 -15.388772696543217 -16.01905792913103 -15.914686430154774 -15.561368591673215
0.6499999761581421 -15.11501868221356 -15.972054047785043 -15.954779811316605 -15.496833149131788
0.75 -14.856684046801018 -15.852539492130518 -15.947101339687634 -15.420095472730864
0.8500000238418579 -14.612011974419428 -15.678686587308274 -15.926036812469142 -15.334705994088168
0.949999988079071 -14.382037009708174 -15.475713670577406 -15.877768400296791 -15.240576357456035
