# %ECSV 0.9
# ---
# datatype:
# - name: time
#   datatype: float64
# - name: sdss_g
#   datatype: float64
# - name: sdss_r
#   datatype: float64
# - name: sdss_i
#   datatype: float64
# - name: Clear
#   datatype: float64
# meta: !!omap
# - comment:
#   - type = Kasen
#   - mass = 0.03
#   - velocity = 0.2
#   - Xlan = 1e-9.0
# schema: astropy-2.0
time sdss_g sdss_r sdss_i Clear
-1.9500000476837158 nan nan nan nan
-1.850000023841858 nan nan nan nan
-1.75 nan nan nan nan
-1.649999976158142 nan nan nan nan
-1.5499999523162842 nan nan nan nan
-1.4500000476837158 nan nan nan nan
-1.350000023841858 nan nan nan nan
-1.25 nan nan nan nan
-1.149999976158142 nan nan nan nan
-1.0499999523162842 nan nan nan nan
-0.949999988079071 nan nan nan nan
-0.8500000238418579 nan nan nan nan
-0.75 nan nan nan nan
-0.6499999761581421 nan nan nan nan
-0.550000011920929 nan nan nan nan
-0.44999998807907104 nan nan nan nan
-0.3499999940395355 nan nan nan nan
-0.25 nan nan nan nan
-0.15000000596046448 nan nan nan nan
-0.05000000074505806 nan nan nan nan
0.05000000074505806 -12.441758401874317 -11.91750914502786 -11.341873977174192 -12.12249566714344
0.15000000596046448 -15.397330409856103 -14.97854398446006 -14.526114898066691 -15.11418938068628
0.25 -15.931341908413799 -15.491773997282976 -14.99492291339386 -15.568903753273908
0.3499999940395355 -16.13426392072774 -15.792954581680164 -15.228194386411253 -15.704567236672503
0.44999998807907104 -16.180220767218337 -15.971438098689518 -15.418288526775502 -15.737217878808508
0.550000011920929 -16.081226626503124 -16.04752687868646 -15.490677408098126 -15.690601824334358
0.6499999761581421 -15.885092986103146 -16.06483539035459 -15.504220244222768 -15.599761503292306
0.75 -15.618719289836296 -16.061446596984194 -15.460848781235555 -15.487241658189689
0.8500000238418579 -15.314823572007207 -16.07717030822038 -15.44835347379265 -15.39307365530528
0.949999988079071 -15.046335489111744 -16.102371538023984 -15.509324319859516 -15.345374430711203
